Lambda_0.008_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_4_Ny_4_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_0_malicious_appear_num_1_malicious_appear_type_1_Method_1_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~400~400~e_RA_fTA~2000~2000~10~10~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,][,ArrivalEventManual,5000,1,1,1,1780,2000,4000,2000,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
49,1,100000,50000,55085,67712,55399,50000,55085,68005,55420,644,0,0,0,83,4,67444,113608,336,113442,166,351,5,351,3,0,0,1063,47.0471,46.5564
50,1,100000,50000,0,53372,0,50000,0,53719,0,706,0,0,0,57,1,8263,16824,0,16824,0,60,0,60,-1,0,0,1062,47.1197,48.406
51,1,100000,50181,55033,70056,55301,50000,55033,70359,55420,667,0,0,0,81,5,64971,121214,388,120953,261,379,5,379,4,0,0,1047,47.7859,46.2969
52,1,100000,50181,0,50182,0,50000,0,50400,0,731,0,0,0,4,1,1575,979,0,979,0,4,0,4,-1,0,0,1003,49.8972,51.2138
53,1,100000,50174,55203,81872,55336,50000,55203,82126,55420,711,0,0,0,84,3,108294,197808,218,197666,142,610,3,609,2,0,0,1030,48.5326,48.7831
54,1,100000,50063,55228,63059,55412,50000,55228,63292,55420,730,0,0,0,93,2,53027,95465,193,95431,34,286,3,286,2,0,0,1013,49.3686,50.6742
55,1,100000,50000,0,54436,0,50000,0,54704,0,596,0,0,0,74,1,14028,29341,0,29341,0,92,0,92,-1,0,0,995,50.2978,50.0758
56,1,100000,50155,0,50882,0,50000,0,51265,0,659,0,0,0,18,1,1853,4952,0,4952,0,18,0,18,-1,0,0,1008,49.6445,51.8542
57,1,100000,50191,0,54426,0,50000,0,54717,0,715,0,0,0,73,1,13278,29474,0,29474,0,89,0,89,-1,0,0,1032,48.4811,48.0722
58,1,100000,50049,0,50358,0,50000,0,50631,0,680,0,0,0,13,1,3788,3598,0,3598,0,13,0,13,-1,0,0,1015,49.2426,50.592
59,1,100000,50181,55224,55640,55516,50000,55224,55996,55591,653,0,0,0,85,8,22179,41404,197,40168,1236,124,9,124,9,0,0,1036,48.2126,48.2385
60,1,100000,50327,55318,60488,55393,50000,55318,60885,55589,674,0,0,0,72,5,31433,63523,103,62903,620,199,4,199,4,0,0,975,51.2844,51.4071
61,1,100000,50231,0,50232,0,50000,0,50480,0,694,0,0,0,2,1,39,650,0,650,0,2,0,2,-1,0,0,1011,49.4832,50.5773
62,1,100000,50184,55060,66097,55657,50000,55060,66315,55662,616,0,0,0,90,12,51874,105255,361,103802,1453,321,14,321,11,0,0,1028,48.6699,50.1078
63,1,100000,50186,0,51295,0,50000,0,51548,0,648,0,0,0,23,1,3617,7545,0,7545,0,23,0,23,-1,0,0,1058,47.2195,46.886
64,1,100000,50181,55232,55370,55788,50000,55232,55686,55797,646,0,0,0,76,5,19632,37020,189,36558,462,113,7,113,7,0,0,1063,47.0725,46.8188
65,1,100000,50181,55099,67005,55414,50000,55099,67256,55420,613,0,0,0,104,3,85181,128217,322,128072,145,382,4,382,3,0,0,1054,47.4511,47.9927
66,1,100000,50161,0,53595,0,50000,0,53887,0,685,0,0,0,77,1,16804,28527,0,28527,0,86,0,86,-1,0,0,1019,49.1159,51.2476
67,1,100000,50246,55201,64047,55688,50000,55201,64266,55844,690,0,0,0,90,17,44007,88115,220,85859,2256,277,23,277,18,0,0,1028,48.6816,50.7164
68,1,100000,50000,0,52092,0,50000,0,52311,0,623,0,0,0,31,1,3333,9488,0,9488,0,31,0,31,-1,0,0,969,51.564,52.8318
69,1,100000,50072,0,52121,0,50000,0,52340,0,699,0,0,0,51,1,7224,16910,0,16910,0,51,0,51,-1,0,0,1018,49.0767,55.8552
70,1,100000,50182,55201,65465,55363,50000,55201,65753,55420,682,0,0,0,103,3,64921,112505,220,112277,228,343,3,343,2,0,0,1073,46.6259,46.5964
71,1,100000,50043,55106,55315,55833,50000,55106,55682,55842,713,0,0,0,82,9,18469,36445,315,35537,908,111,11,111,11,0,0,1048,47.6753,50.2334
72,1,100000,50133,0,53468,0,50000,0,53686,0,647,0,0,0,64,1,13130,23063,0,23063,0,71,0,71,-1,0,0,975,51.307,53.1702
73,1,100000,50094,0,52760,0,50000,0,53109,0,701,0,0,0,56,1,9017,18419,0,18419,0,57,0,57,-1,0,0,1030,48.5909,48.246
74,1,100000,50000,0,51562,0,50000,0,51781,0,703,0,0,0,35,1,7055,11233,0,11233,0,35,0,35,-1,0,0,1041,48.0702,48.0803
75,1,100000,50091,0,50092,0,50000,0,50400,0,648,0,0,0,2,1,39,511,0,511,0,2,0,2,-1,0,0,1038,48.2015,48.8813
76,1,100000,50018,0,50265,0,50000,0,50547,0,689,0,0,0,3,1,78,721,0,721,0,3,0,3,-1,0,0,987,50.6542,50.3988
77,1,100000,50072,55020,65692,55291,50000,55020,65907,55420,736,0,0,0,98,3,58274,105364,401,105126,238,326,3,326,2,0,0,1014,49.2596,49.0409
78,1,100000,50262,0,52657,0,50000,0,53041,0,704,0,0,0,43,1,6170,14970,0,14970,0,46,0,46,-1,0,0,969,51.6364,51.0007
79,1,100000,50020,55057,64326,55420,50000,55057,64541,55465,673,0,0,0,83,7,39466,85585,364,85169,416,263,8,263,6,0,0,993,50.2984,49.695
80,1,100000,50203,0,50222,0,50000,0,50461,0,662,0,0,0,3,1,78,863,0,863,0,3,0,3,-1,0,0,1009,49.5913,49.8408
81,1,100000,50189,55041,63453,55391,50000,55041,63754,55467,655,0,0,0,82,9,39646,87321,380,86720,601,266,8,266,8,0,0,1009,49.496,48.7419
82,1,100000,50000,55050,99558,55392,50000,55050,99776,55420,627,60,0,0,102,3,190444,335390,371,335332,58,1024,3,1024,2,0,0,1062,47.0518,47.3678
83,1,100000,50112,55150,83498,55406,50000,55150,83716,55420,717,0,0,0,84,8,104114,211425,271,210847,578,651,13,651,11,0,0,1002,49.9251,47.7891
84,1,100000,50094,55020,63207,55356,50000,55020,63483,55446,628,0,0,0,92,8,44189,91380,401,90703,677,271,11,271,10,0,0,1054,47.4425,47.9912
85,1,100000,50000,55144,63503,55390,50000,55144,63902,55420,651,0,0,0,82,6,43538,88543,277,88388,155,273,6,272,3,0,0,1069,46.7912,47.8965
86,1,100000,50059,55201,65765,55374,50000,55201,66005,55420,674,0,0,0,86,4,60802,103041,220,102840,201,314,3,314,1,0,0,987,50.7008,49.753
87,1,100000,50104,55020,66801,55383,50000,55020,67095,55423,672,0,0,0,78,6,45607,99412,401,99107,305,315,5,315,4,0,0,1013,49.3715,48.1704
88,1,100000,50349,55166,55898,55461,50000,55166,56186,55527,673,0,0,0,71,7,19906,37981,255,37098,883,118,11,118,9,0,0,1036,48.2918,49.9949
89,1,100000,50137,0,53635,0,50000,0,54034,0,661,0,0,0,63,1,11263,22169,0,22169,0,70,0,70,-1,0,0,1000,49.8979,49.0374
90,1,100000,50203,55090,55890,55307,50000,55090,56119,55420,651,0,0,0,85,3,20690,37748,331,37625,123,119,3,119,3,0,0,1037,48.2529,47.3025
91,1,100000,50000,0,74393,0,50000,0,74752,0,632,0,0,0,101,1,103191,172460,0,172460,0,527,0,527,-1,0,0,1091,45.8193,46.6758
92,1,100000,50189,0,51882,0,50000,0,52091,0,695,0,0,0,33,1,4433,10109,0,10109,0,33,0,33,-1,0,0,992,50.4531,50.385
93,1,100000,50030,55124,55124,55554,50000,55124,55389,55563,647,0,0,0,90,4,22135,39772,297,39639,133,120,3,120,2,0,0,1039,48.1349,47.9286
94,1,100000,50098,0,53477,0,50000,0,53876,0,700,0,0,0,51,1,7087,17097,0,17097,0,57,0,57,-1,0,0,988,50.6403,49.6794
95,1,100000,50050,55209,63004,55209,50000,55209,63362,55420,649,0,0,0,90,2,41028,78654,212,78642,12,247,1,247,1,0,0,1022,48.9236,47.7025
96,1,100000,50190,0,52640,0,50000,0,52930,0,657,0,0,0,62,1,12414,20563,0,20563,0,63,0,63,-1,0,0,1056,47.346,47.6765
97,1,100000,50112,55068,57953,55411,50000,55068,58168,55420,696,0,0,0,70,4,23925,47413,353,47324,89,149,4,149,3,0,0,1042,47.9491,47.8855
98,1,100000,50111,0,78561,0,50000,0,78881,0,659,0,0,0,93,1,113381,203148,0,203148,0,615,0,615,-1,0,0,1080,46.3003,45.5213
99,1,100000,50000,55261,57774,55368,50000,55261,57988,55420,665,0,0,0,90,2,25938,52708,160,52663,45,162,2,162,2,0,0,991,50.496,50.7696
100,1,100000,50000,0,67729,0,50000,0,67986,0,698,0,0,0,87,1,78544,120422,0,120422,0,372,0,372,-1,0,0,1086,46.071,47.7764
